
<<START>>,<<FMS_ENTITY_CONTACT_MST>>,, 	(27-FEB-2025 11:01:58)
 
ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TYPE,TIMESTAMP
RIL,1,C,52,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:58)
RIL,1,C,52,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:58)
RIL,1,C,5,10/02/2012 00:00:00,RLNG, 	(27-FEB-2025 11:01:58)
RIL,1,C,5,10/02/2012 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,32,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,32,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,20,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,20,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,23,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,23,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,17,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,17,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,2,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,2,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,3,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,3,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,19,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,19,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,58,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,58,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,14,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,14,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,27,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,27,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,22,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,22,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,16,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,16,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,60,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,60,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,7,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,7,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,21,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,21,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,9,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,9,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,11,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,11,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,13,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,13,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,5,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,5,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,59,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,59,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,24,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,24,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,4,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,4,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,15,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,15,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,8,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,8,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,26,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,26,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,1,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,1,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,25,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,25,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,53,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,53,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,3,10/02/2012 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,3,10/02/2012 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,29,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,29,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,30,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,30,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,31,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,31,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,33,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,33,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,34,21/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,34,01/04/2011 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,34,21/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,34,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,34,01/04/2011 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,34,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,34,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,34,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,35,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,35,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,14/09/2008 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,37,01/01/2013 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,37,01/01/2013 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,38,01/09/2013 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,38,01/09/2013 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,39,01/09/2013 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,39,01/09/2013 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,40,26/09/2013 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,40,26/09/2013 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,41,28/02/2017 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,41,28/02/2017 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,42,28/02/2017 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,42,28/02/2017 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,43,01/07/2017 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,43,01/07/2017 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,44,01/07/2017 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,44,01/07/2017 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,68,01/06/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,68,01/06/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,69,01/06/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,69,01/06/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,70,01/07/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,70,01/07/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,71,01/07/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,71,01/07/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,72,01/07/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,72,01/07/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,73,01/07/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,73,01/07/2021 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,62,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,62,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,65,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,65,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,66,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,66,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,67,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,67,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,51,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,51,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,61,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,61,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,47,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,47,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,48,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,48,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,49,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,49,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,50,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,50,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,56,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,56,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,57,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,57,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,46,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,46,31/01/2018 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,63,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,63,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,64,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,64,01/01/2020 00:00:00,RLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,52,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,52,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,5,10/02/2012 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,5,10/02/2012 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,32,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,32,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,20,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,20,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,23,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,23,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,17,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,17,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,18,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,2,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,2,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,3,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,3,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,19,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,19,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,58,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,58,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,14,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,14,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,27,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,27,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:01:59)
RIL,1,C,22,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,22,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,16,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,16,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,60,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,60,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,7,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,7,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,21,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,21,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,9,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,9,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,11,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,11,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,13,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,13,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,5,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,5,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,59,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,59,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,24,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,24,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,4,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,4,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,15,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,15,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,8,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,8,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,26,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,26,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,1,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,1,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,25,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,25,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,18,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,18,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,53,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,53,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,3,10/02/2012 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,3,10/02/2012 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,29,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,29,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,30,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,30,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,31,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,31,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,33,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,33,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,34,21/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,34,01/04/2011 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,34,21/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,34,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,34,01/04/2011 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,34,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,34,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,34,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,35,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,35,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,18,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,18,14/09/2008 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,37,01/01/2013 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,37,01/01/2013 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,38,01/09/2013 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,38,01/09/2013 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,39,01/09/2013 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,39,01/09/2013 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,40,26/09/2013 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,40,26/09/2013 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,41,28/02/2017 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,41,28/02/2017 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,42,28/02/2017 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,42,28/02/2017 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,43,01/07/2017 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,43,01/07/2017 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,44,01/07/2017 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,44,01/07/2017 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,68,01/06/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,68,01/06/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,69,01/06/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,69,01/06/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,70,01/07/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,70,01/07/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,71,01/07/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,71,01/07/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,72,01/07/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,72,01/07/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,73,01/07/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,73,01/07/2021 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,62,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,62,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,65,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,65,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,66,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,66,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,67,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,67,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,51,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,51,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,61,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,61,01/01/2020 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,47,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,47,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,48,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,48,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,49,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,49,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,50,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
RIL,1,C,50,31/01/2018 00:00:00,DLNG, 	(27-FEB-2025 11:02:00)
