COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,ALLOC_QTY,SALE_PRICE,SALE_PRICE_UNIT,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TRANSPORTATION_CHARGE,TRANSPORTATION_AMOUNT,MARKET_MARGIN,MARKET_MARGIN_AMT,OTHER_CHARGES,OTHER_CHARGES_AMT,TAX_STRUCT_CD,TAX_AMT,INVOICE_AMT,NET_PAYABLE_AMT,TCS_TDS,TCS_AMT,TCS_FACTOR,TDS_GROSS_PERCENT,TDS_GROSS_AMT,TDS_TAX_PERCENT,TDS_TAX_AMT,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT
RIL&D018/19-20,2019-2020,L-1-1-0,0115/19-20,97644.68,5.07,1,495058.53,SBI RATE BUY SELL,14/02/2020,71.925,null,35607084.48,null,null,null,null,null,null,CST 2%,712141.99,36319226.47,36319226.47,null,null,null,null,null,null,null,23,25/02/2020,null,null
RIL&null,2016-2017,C-1-3-3-0,0001@2016-2017,19978.81,0.8,2,15983.05,SBI RATE BUY SELL,13/04/2016,66.555,null,1063751.76,null,null,null,null,null,null,SBC 0.5%-ST 14%,834.32,1217995.76,1217995.76,null,null,null,null,null,null,null,27,18/04/2016,null,null
MGL&DMH014/24-25,2024-2025,33Tranche1,SMH0039/24-25,39208.88,10.0674,2,394731.48,SBI FIRST RATE TT BUY SELL,15/07/2024,83.66,null,33023235.49,null,null,null,null,null,null,VAT 3%,1091478.62,37474099.59,37474099.59,null,null,null,.1,null,null,null,219,22/07/2024,null,null
MGL&DMH015/24-25,2024-2025,33Tranche1,SMH0043/24-25,27782.13,10.0674,2,279693.82,SBI FIRST RATE TT BUY SELL,31/07/2024,83.81,null,23441138.68,null,null,null,null,null,null,VAT 3%,774644.68,26596134.03,26596134.03,null,null,null,.1,null,.1,.55,201,06/08/2024,null,null
GSPCL&C006/18-19,2018-2019,C-3-12018-12-0,00472/18-19,1199549.8,0.78,2,935648.84,SBI RATE BUY SELL,24/12/2018,69.915,null,65977279,null,null,null,null,null,null,CGST 9%-SGST 9%,11875912,77853191,77853191,null,null,null,null,null,null,null,23,03/01/2019,null,null
GSPCL&D006/19-20,2019-2020,117,0095/19-20,784414.95,6.15,1,4824151.94,SBI RATE BUY SELL,30/01/2020,71.485,null,344854501.49,null,null,null,null,null,null,VAT 15%,51728174.87,396582676.36,396582676.36,null,null,null,null,null,null,null,6,04/02/2020,null,null
Gail&C0003/23-24,2023-2024,C-4-10722-21-0,L00025/23-24,2011155.72,0.75,2,1528478.35,SBI FIRST RATE TT BUY SELL,30/06/2023,82.055,null,127069545,null,null,null,null,null,null,CGST 6%-SGST 6%,15248344,142317889,142317889,null,null,null,null,null,null,null,113,05/07/2023,null,null
Gail&D007/19-20,2019-2020,24,0096/19-20,778000.0,5.4,1,4201200,SBI RATE BUY SELL,30/01/2020,71.485,null,300322782,null,null,null,null,null,null,VAT 15%,45048417.5,345371199.5,345371199.5,null,null,null,null,null,null,null,6,04/02/2020,null,null
Gail&D0001/20-21,2020-2021,C-4-10519-1-0,L00113/20-21,1187579.68,0.76,2,902560.56,SBI RATE BUY SELL,05/06/2020,75.995,null,68590090,null,null,null,null,null,null,CGST 9%-SGST 9%,12346216,80936306,80936306,null,null,null,null,null,null,null,23,16/06/2020,null,null
KRIBHCO&C007/23-24,2023-2024,L-33-1-0,S0008/23-24,142320.0,13.23,2,1882893.6,SBI FIRST RATE TT SELL,13/04/2023,82.25,null,155621156.04,null,null,null,null,null,null,VAT 15%,24286413.44,186195836.36,186195836.36,null,null,null,null,null,null,null,130,20/04/2023,null,null
KRIBHCO&C003/19-20,2019-2020,L-19-1-0,0121/19-20,179445.0,5.966,1,1071286.65,SBI RATE SELL,14/02/2020,71.75,null,76916318.14,null,null,null,null,null,null,VAT 15%,12428392,95284339.64,95284339.64,null,null,null,null,null,null,null,23,26/02/2020,null,null
DFPCL&DMH031/22-23,2022-2023,06,SMH0193/22-23,18912.0,16.82,2,318099.84,SBI FIRST RATE TT BUY SELL,31/03/2023,82.145,null,26315999.78,null,null,null,null,null,null,VAT 3%,808257.34,27750168.67,27750168.67,null,null,null,.1,null,null,null,49,03/04/2023,null,null
DFPCL&DMH008/22-23,2022-2023,05,SMH0128/22-23,32392.0,20.48,2,663388.16,SBI FIRST RATE TT BUY SELL,15/12/2022,82.645,null,54860498.39,null,null,null,null,null,null,VAT 3%,1645814.95,56506313.34,56506313.34,null,null,null,null,null,null,null,153,20/12/2022,null,null
DFPCL&DMH011/22-23,2022-2023,05,SMH0139/22-23,54580.0,20.48,2,1117798.4,SBI FIRST RATE TT BUY SELL,30/12/2022,82.785,null,92742599.08,null,null,null,null,null,null,VAT 3%,2782277.98,95524877.06,95524877.06,null,null,null,.1,null,null,null,153,03/01/2023,null,null
DFPCL&DMH016/22-23,2022-2023,06,SMH0152/22-23,13150.0,16.82,2,221183,SBI FIRST RATE TT BUY SELL,31/01/2023,81.625,null,18457092.23,null,null,null,null,null,null,VAT 3%,566769.14,19459073.77,19459073.77,null,null,null,.1,null,null,null,23,02/02/2023,null,null
DFPCL&DMH001/22-23,2022-2023,05,SMH0049/22-23,54800.0,20.48,2,1122304,SBI FIRST RATE TT BUY SELL,31/08/2022,79.575,null,89392529.9,null,null,null,null,null,null,VAT 3%,2681775.89,92074305.79,92074305.79,null,null,null,.1,null,null,null,23,07/09/2022,null,null
DFPCL&CMH001/23-24,2023-2024,06,SMH0003/23-24,97150.0,16.82,2,1634063,SBI FIRST RATE TT BUY SELL,14/04/2023,81.825,null,134360830.17,null,null,null,null,null,null,VAT 3%,4159599.18,142812904.95,142812904.95,null,null,null,null,null,null,null,130,21/04/2023,null,null
HPCL&D034/24-25,2024-2025,34,S0253/24-25,3074.8,13.89,2,42708.97,SBI FIRST RATE TT SELL,13/12/2024,85.31,null,3643709.4,null,null,null,null,null,null,VAT 15%,587923.23,4507411.44,4507411.44,null,null,null,2,null,2,.62,46,17/12/2024,null,null
HPCL&D032/24-25,2024-2025,34,S0242/24-25,2479.77,13.89,2,34444.01,SBI FIRST RATE TT SELL,29/11/2024,84.94,null,2933535.19,null,null,null,null,null,null,VAT 15%,473391.87,3629337.63,3629337.63,null,null,null,2,null,2,23.58,201,03/12/2024,null,null
HPCL&CMH016/23-24,2023-2024,31,SMH0185/23-24,245004.05,10.159,2,2488996.14,SBI FIRST RATE TT BUY SELL,29/02/2024,82.89,null,206437340.18,null,null,null,null,null,null,VAT 3%,6769075.73,232404933.27,232404933.27,null,null,null,null,null,null,null,201,05/03/2024,null,null
HPCL&C011/23-24,2023-2024,29,S0087/23-24,180000.0,12.488,1,2250432,SBI FIRST RATE TT BUY SELL,15/07/2023,82.145,null,185074656.48,null,null,null,null,null,null,VAT 15%,27761198.48,212835854.96,212835854.96,null,null,null,null,null,null,null,23,20/07/2023,null,null
HPCL&CMH012/24-25,2024-2025,33,SMH0049/24-25,35137.92,10.0674,2,353747.5,SBI FIRST RATE TT SELL,14/08/2024,83.84,null,30026087.45,null,null,null,null,null,null,VAT 3%,991975.22,34057816.01,34057816.01,null,null,null,null,null,null,null,201,21/08/2024,null,null
HPCL&CMH013/24-25,2024-2025,33,SMH0054/24-25,37872.07,10.0674,2,381273.28,SBI FIRST RATE TT SELL,30/08/2024,83.98,null,32255719.28,null,null,null,null,null,null,VAT 3%,1065960.05,36597961.81,36597961.81,null,null,null,null,null,null,null,46,05/09/2024,null,null
HPCL&CMH004/24-25,2024-2025,32,SMH0014/24-25,74089.65,9.456,2,700591.73,SBI FIRST RATE TT BUY SELL,30/04/2024,83.42,null,58548450.91,null,null,null,null,null,null,VAT 3%,1943959.61,66742613.39,66742613.39,null,null,null,null,null,null,null,201,06/05/2024,null,null
HPCL&DMH034/23-24,2023-2024,31,SMH0178/23-24,247995.95,10.159,2,2519390.86,SBI FIRST RATE TT BUY SELL,15/02/2024,83.05,null,209235410.59,null,null,null,null,null,null,VAT 3%,6860051.19,235528424.42,235528424.42,null,null,null,null,null,null,null,201,21/02/2024,null,null
GSFC&D008/19-20,2019-2020,3,0097/19-20,94096.0,5.63,1,529760.48,SBI RATE BUY SELL,30/01/2020,71.485,null,37869928.28,null,null,null,null,null,null,VAT 6%,2272195.54,40142123.82,40142123.82,null,null,null,null,null,null,null,6,04/02/2020,null,null
AMNS&DMH002/22-23,2022-2023,69,SMH0087/22-23,341677.33,30.0,2,10250319.9,SBI FIRST RATE TT BUY SELL,14/10/2022,82.305,null,844582170.22,null,null,null,null,null,null,CST 3%,25337465.11,869919635.33,869919635.33,null,null,null,.1,null,null,null,153,20/10/2022,null,null
AMNS&DMH004/22-23,2022-2023,69,SMH0093/22-23,358867.66,30.0,2,10766029.5,SBI FIRST RATE TT BUY SELL,31/10/2022,82.405,null,907921219.07,null,null,null,null,null,null,CST 3%,27237636.57,935158855.64,935158855.64,null,null,null,.1,null,null,null,23,07/11/2022,null,null
AMNS&DMH006/22-23,2022-2023,69,SMH0103/22-23,38040.58,30.0,2,1141217.7,SBI FIRST RATE TT BUY SELL,15/11/2022,81.225,null,92978145.68,null,null,null,null,null,null,CST 3%,2789344.37,95767490.05,95767490.05,null,null,null,.1,null,null,null,49,18/11/2022,null,null
AMNS&C0001/23-24,2023-2024,C-33-11921-29-0,L00002/23-24,844867.32,0.76,2,642099.16,SBI FIRST RATE TT BUY SELL,13/04/2023,81.825,null,52796604,null,null,null,null,null,null,CGST 6%-SGST 6%,6335592,59132196,59132196,null,null,null,null,null,null,null,130,23/04/2023,null,null
AMNS&D001/19-20,2019-2020,C-33-11719-2-0,00692/19-20,1239465.32,0.78,2,966782.95,SBI RATE BUY SELL,30/01/2020,71.485,null,58007,null,null,null,null,null,null,CGST 9%-SGST 9%,12439886,68449,68449,null,null,null,null,null,null,null,6,04/02/2020,null,null
AMNS&2CRMH0006/25-26,2025-2026,,2SMH0036/25-26,6602.51,883.5,1,0,SBI RATE BUY SELL,30/06/2025,0,null,6169385.34,null,null,null,null,null,null,CST 3%,185081.56,6354466.9,6354466.9,null,null,null,null,null,null,null,46,02/07/2025,null,null
AMNS&2DRMH0012/25-26,2025-2026,SN 78,SMH0116/24-25,46.54,871.4286,1,40556.29,SBI RATE BUY SELL,29/03/2025,0,null,0,null,null,null,null,null,null,CST 3%,1216.69,0,0,null,null,null,null,null,null,null,4,12/12/2025,null,null
SEMTIPL&DMH016/23-24,2023-2024,14,SMH0054/23-24,25653.8,13.29,1,340939,SBI FIRST RATE TT BUY SELL,30/06/2023,82.055,null,28035096.73,null,null,null,null,null,null,VAT 3%,841052.9,28876149.63,28876149.63,null,null,null,.1,null,null,null,113,05/07/2023,null,null
SEMTIPL&CAP002/24-25,2024-2025,SN-19,SAP0032/24-25,38646.06,10.16,2,400496.85,SBI FIRST RATE TT BUY SELL,29/03/2025,85.525,null,34924110.52,null,null,null,null,null,null,VAT 5%,1761663.95,36994942.95,36994942.95,null,null,null,null,null,null,null,46,09/04/2025,null,null
SEMTIPL&CMH016/24-25,2024-2025,SN-19,SMH0067/24-25,162525.92,10.3632,2,1684288.61,SBI FIRST RATE TT SELL,15/10/2024,84.085,null,143055053.44,null,null,null,null,null,null,VAT 3%,4628368.9,158907332.35,158907332.35,null,null,null,null,null,null,null,46,18/10/2024,null,null
SEMTIPL&CMH014/23-24,2023-2024,14,SMH0118/23-24,15219.15,13.29,1,202262.50,SBI FIRST RATE TT BUY SELL,31/10/2023,83.285,null,16845432.31,null,null,null,null,null,null,VAT 3%,909100.15,0,0,null,null,null,null,null,null,null,23,07/11/2023,null,null
SEMTIPL&DMH013/23-24,2023-2024,14,SMH0044/23-24,16793.29,13.39,2,224862.02,SBI FIRST RATE TT BUY SELL,15/06/2023,82.175,null,18478371.15,null,null,null,null,null,null,VAT 3%,554351.13,19032722.28,19032722.28,null,null,null,.1,null,null,null,113,30/06/2023,null,null
SEMTIPL&D012/19-20,2019-2020,02,0101/19-20,30400.0,6.3,1,191520,SBI RATE BUY SELL,30/01/2020,71.485,null,13690807,null,null,null,null,null,null,CST 2%,273816.32,13964623.32,13964623.32,null,null,null,null,null,null,null,6,04/02/2020,null,null
SEMTIPL&2DRGJ0003/25-26,2025-2026,,2SGJ0088/25-26,23484.89,12.94,2,303894.48,SBI FIRST RATE TT SELL,31/07/2025,88.15,null,27879128.8,null,null,null,null,null,null,CST 2%,557582.57,28436711.37,28436711.37,null,null,null,.1,null,null,null,44,06/08/2025,null,null
SEMTIPL&2DRGJ0004/25-26,2025-2026,05,S0110/20-21,1000.0,2.97,1,2970.00,SBI RATE BUY SELL,15/07/2020,75.375,null,223863.75,null,null,null,null,null,null,CST 2%,11193.19,11193.19,11193.19,null,null,null,null,null,null,null,4,16/12/2025,null,null
SEMTIPL&CAP001/24-25,2024-2025,SN-19,SAP0031/24-25,0.0,10.3632,2,0.00,SBI FIRST RATE TT BUY SELL,29/03/2025,85.525,null,0.00,null,null,null,null,null,null,CST 2%,691233.23,0,0,null,null,null,null,null,null,null,219,07/04/2025,null,null
SEMTIPL&2CRAP0003/25-26,2025-2026,,2SAP0004/25-26,102107.28,10.04,2,1025157.09,SBI FIRST RATE TT BUY SELL,30/04/2025,85.175,null,87317755.14,null,null,null,null,null,null,VAT 5%,4529327.45,0,0,null,null,null,null,null,null,null,201,07/05/2025,null,null
SGIPL&D045/20-21,2020-2021,13,S0235/20-21,1615.68,4.9372,1,7976.94,SBI RATE BUY SELL,15/10/2020,73.375,null,585307.63,null,null,null,null,null,null,VAT 6%,52717.2,52717.2,52717.2,null,null,null,null,null,null,null,23,16/10/2020,null,null
SGIPL&D048/20-21,2020-2021,13,S0254/20-21,1363.05,4.9372,1,6729.65,SBI RATE BUY SELL,30/10/2020,74.225,null,499508.31,null,null,null,null,null,null,VAT 6%,44989.47,44989.47,44989.47,null,null,null,null,null,null,null,6,03/11/2020,null,null
SGIPL&D009/19-20,2019-2020,2-0,0098/19-20,32000.0,7.85,1,251200,SBI RATE BUY SELL,30/01/2020,71.485,null,17957032,null,null,null,null,null,null,CST 2%,359140.2,18316172.2,18316172.2,null,null,null,null,null,null,null,6,04/02/2020,null,null
SGIPL&D010/19-20,2019-2020,11-0,0099/19-20,7200.0,5.8,1,41760,SBI RATE BUY SELL,30/01/2020,71.485,null,2985214,null,null,null,null,null,null,CST 2%,59704.16,3044918.16,3044918.16,null,null,null,null,null,null,null,6,04/02/2020,null,null
PGPGPL&C012/23-24,2023-2024,06,S0083/23-24,4000.0,12.8057,1,51248,SBI FIRST RATE TT BUY SELL,15/07/2023,82.145,null,4211837.01,null,null,null,null,null,null,VAT 6%,263462.22,4654499.23,4654499.23,null,null,null,null,null,null,null,23,20/07/2023,null,null
PGPGPL&C013/23-24,2023-2024,06,S0084/23-24,11040.0,12.8057,1,141444.48,SBI FIRST RATE TT BUY SELL,15/07/2023,82.145,null,11624670.16,null,null,null,null,null,null,VAT 6%,727155.73,12846417.89,12846417.89,null,null,null,null,null,null,null,23,20/07/2023,null,null
HCG&D001/21-22,2021-2022,03,S0371/20-21,9000.0,4.67,1,42030,SBI RATE BUY SELL,31/03/2021,73.275,null,3090915.25,null,null,null,null,null,null,CST 2%,87983.97,4490539.26,4490539.26,null,null,null,null,null,null,null,48,07/04/2021,null,null
HCG&D022/23-24,2023-2024,06,S0215/23-24,26075.22,10.159,2,264898.16,SBI FIRST RATE TT BUY SELL,30/11/2023,83.345,null,22144918.14,null,null,null,null,null,null,CST 2%,518455.17,26441213.77,26441213.77,null,null,null,.1,null,null,null,113,03/12/2023,null,null
HCG&D024/23-24,2023-2024,06,S0262/23-24,24000.0,10.159,2,243816,SBI FIRST RATE TT BUY SELL,30/12/2023,83.335,null,20318406.36,null,null,null,null,null,null,CST 2%,475911.68,24271495.64,24271495.64,null,null,null,.1,null,null,null,201,04/01/2024,null,null
HCG&C036/23-24,2023-2024,06,S0390/23-24,28000.0,10.159,2,284452,SBI FIRST RATE TT BUY SELL,29/02/2024,82.89,null,23592448.88,null,null,null,null,null,null,CST 2%,552983.13,28202139.21,28202139.21,null,null,null,null,null,null,null,201,05/03/2024,null,null
HCG&D020/24-25,2024-2025,SN08 T2,S0161/24-25,13981.93,13.0,2,181765.09,SBI FIRST RATE TT SELL,14/08/2024,84.36,null,15374424.99,null,null,null,null,null,null,CST 2%,332569.17,16961027.87,16961027.87,null,null,null,.1,null,null,null,201,20/08/2024,null,null
HCG&C005/24-25,2024-2025,SN08 T1,S0180/24-25,14500.0,10.0674,2,145977.3,SBI FIRST RATE TT SELL,30/08/2024,83.98,null,12349679.58,null,null,null,null,null,null,CST 2%,286492.29,14611106.67,14611106.67,null,null,null,null,null,null,null,201,05/09/2024,null,null
HCG&C003/24-25,2024-2025,SN08 T1,S0145/24-25,15400.0,10.0674,2,155037.96,SBI FIRST RATE TT SELL,30/07/2024,83.81,null,13108459.52,null,null,null,null,null,null,CST 2%,304119.53,15510096.01,15510096.01,null,null,null,null,null,null,null,23,07/08/2024,null,null
HCG&C006/24-25,2024-2025,SN08 T1,S0193/24-25,15000.0,10.0674,2,151011,SBI FIRST RATE TT SELL,13/09/2024,83.73,null,12837445.11,null,null,null,null,null,null,CST 2%,297609.62,15178090.73,15178090.73,null,null,null,null,null,null,null,201,20/09/2024,null,null
HCG&D026/23-24,2023-2024,06,S0320/23-24,22494.21,10.159,2,228518.68,SBI FIRST RATE TT BUY SELL,15/01/2024,82.855,null,18967584.18,null,null,null,null,null,null,CST 2%,444531.99,22671131.3,22671131.3,null,null,null,.1,null,null,null,113,18/01/2024,null,null
HCG&D002/24-25,2024-2025,06,S0438/23-24,31952.09,10.159,2,324601.28,SBI FIRST RATE TT BUY SELL,30/03/2024,83.4,null,27071746.94,null,null,null,null,null,null,CST 2%,634020.85,32335063.28,32335063.28,null,null,null,.1,null,null,null,201,04/04/2024,null,null
HCG&C004/24-25,2024-2025,SN08 T1,S0160/24-25,16900.0,10.0674,2,170139.06,SBI FIRST RATE TT SELL,14/08/2024,83.84,null,14441403.41,null,null,null,null,null,null,CST 2%,334864.48,17078088.45,17078088.45,null,null,null,null,null,null,null,46,21/08/2024,null,null
HCG&C008/24-25,2024-2025,SN08 T1,S0201/24-25,15000.0,10.0674,2,151011,SBI FIRST RATE TT SELL,27/09/2024,83.98,null,12718146.42,null,null,null,null,null,null,CST 2%,295223.65,15056406.07,15056406.07,null,null,null,null,null,null,null,46,07/10/2024,null,null
HCG&C040/23-24,2023-2024,06,S0403/23-24,30000.0,10.159,2,304770,SBI FIRST RATE TT BUY SELL,15/03/2024,82.97,null,25289814.6,null,null,null,null,null,null,CST 2%,592725.74,30229012.34,30229012.34,null,null,null,null,null,null,null,46,20/03/2024,null,null
HCG&D022/24-25,2024-2025,07,S0179/24-25,71296.68,9.24,2,658781.32,SBI FIRST RATE TT BUY SELL,31/08/2024,83.925,null,55296123.55,null,null,null,null,null,null,CST 2%,1233813.89,62924508.15,62924508.15,null,null,null,.1,null,null,null,201,03/09/2024,null,null
HCG&D007/24-25,2024-2025,07,S0065/24-25,69184.74,9.24,2,639267,SBI FIRST RATE TT BUY SELL,31/05/2024,83.275,null,53339598.23,null,null,null,null,null,null,CST 2%,1189221.28,60650285.31,60650285.31,null,null,null,.1,null,null,null,201,04/06/2024,null,null
HCG&D014/23-24,2023-2024,06,S0190/23-24,16874.78,10.159,2,171430.89,SBI FIRST RATE TT BUY SELL,15/11/2023,83.095,null,14396415.81,null,null,null,null,null,null,CST 2%,336825.49,17178099.92,17178099.92,null,null,null,.1,null,null,null,113,17/11/2023,null,null
HCG&D008/23-24,2023-2024,06,S0166/23-24,22000.0,10.159,1,223498,SBI FIRST RATE TT BUY SELL,13/10/2023,83.265,null,18641631.97,null,null,null,null,null,null,CST 2%,436580.9,22265625.67,22265625.67,null,null,null,.1,null,null,null,201,17/10/2023,null,null
HCG&C028/23-24,2023-2024,06,S0228/23-24,22350.0,10.159,2,227053.65,SBI FIRST RATE TT BUY SELL,15/12/2023,83.16,null,18965791.39,null,null,null,null,null,null,CST 2%,444078.26,22647991.29,22647991.29,null,null,null,null,null,null,null,201,20/12/2023,null,null
HCG&D032/23-24,2023-2024,06,S0350/23-24,24000.0,10.159,2,243816.00,SBI FIRST RATE TT BUY SELL,31/01/2024,83.145,null,20272081.32,null,null,null,null,null,null,CST 2%,445298.6,0,0,null,null,null,.1,null,null,null,113,02/02/2024,null,null
HCG&D039/23-24,2023-2024,06,S0370/23-24,22500.0,10.159,2,228577.5,SBI FIRST RATE TT BUY SELL,15/02/2024,83.05,null,18983361.38,null,null,null,null,null,null,CST 2%,444864.31,22688079.69,22688079.69,null,null,null,.1,null,null,null,46,21/02/2024,null,null
HCG&D001/23-24,2023-2024,05,S0061/23-24,50637.4,12.1,2,612712.54,SBI RATE BUY SELL,15/06/2023,82.175,null,50349727.97,null,null,null,null,null,null,CST 2%,1006994.56,51356722.53,51356722.53,null,null,null,null,null,null,null,23,20/06/2023,null,null
HCG&D010/23-24,2023-2024,06,S0175/23-24,24500.0,10.159,1,248895.5,SBI FIRST RATE TT BUY SELL,31/10/2023,83.285,null,20771793.72,null,null,null,null,null,null,CST 2%,486428.25,24807840.77,24807840.77,null,null,null,.1,null,null,null,201,03/11/2023,null,null
GGL&D004/22-23,2022-2023,07,S0022/22-23,8916.24,20.0,2,178324.8,SBI FIRST RATE TT BUY SELL,15/06/2022,78.025,null,13915834.52,null,null,null,null,null,null,VAT 6%,863362.78,15252742.37,15252742.37,null,null,null,.1,null,null,null,23,17/06/2022,null,null
GGL&C005/23-24,2023-2024,04,S0004/23-24,7501.86,12.4924,1,93716.24,SBI FIRST RATE TT BUY SELL,14/04/2023,81.825,null,7705817.5,null,null,null,null,null,null,VAT 6%,505658.43,8933298.9,8933298.9,null,null,null,null,null,null,null,130,20/04/2023,null,null
GGL&DMH025/24-25,2024-2025,08,SMH0065/24-25,13500.35,10.363,2,139904.13,SBI FIRST RATE TT BUY SELL,15/10/2024,84.09,null,11764538.04,null,null,null,null,null,null,CST 3%,396473.48,13612255.95,13612255.95,null,null,null,null,null,null,null,46,21/10/2024,null,null
GGL&DMH029/24-25,2024-2025,08,SMH0070/24-25,14402.96,10.363,2,149257.87,SBI FIRST RATE TT BUY SELL,31/10/2024,84.29,null,12580946.24,null,null,null,null,null,null,CST 3%,423876.55,14553094.91,14553094.91,null,null,null,.1,null,null,null,46,07/11/2024,null,null
GGL&DMH016/24-25,2024-2025,08,SMH0044/24-25,14400.0,10.067,2,144964.8,SBI FIRST RATE TT BUY SELL,31/07/2024,83.81,null,12149499.89,null,null,null,null,null,null,CST 3%,410923.61,14108377.42,14108377.42,null,null,null,null,null,null,null,201,06/08/2024,null,null
GGL&CMH014/24-25,2024-2025,08,SMH0058/24-25,13500.0,10.067,2,135904.5,SBI FIRST RATE TT BUY SELL,13/09/2024,83.73,null,11437722.72,null,null,null,null,null,null,CST 3%,386667.88,13275597.4,13275597.4,null,null,null,null,null,null,null,201,20/09/2024,null,null
GGL&CMH006/24-25,2024-2025,08,SMH0017/24-25,13410.0,10.067,2,134998.47,SBI RATE BUY SELL,15/05/2024,83.34,null,11298021.95,null,null,null,null,null,null,CST 3%,385385.71,13231576.07,13231576.07,null,null,null,null,null,null,null,201,22/05/2024,null,null
GGL&DMH007/24-25,2024-2025,08,SMH0032/24-25,13740.0,10.067,2,138320.58,SBI FIRST RATE TT BUY SELL,29/06/2024,83.49,null,11548385.23,null,null,null,null,null,null,CST 3%,394039.56,13528691.3,13528691.3,null,null,null,null,null,null,null,219,05/07/2024,null,null
