COMPANY_CD,SUPPLIER_CD,VENDOR_CD,INVOICE_TYPE,FINANCIAL_YEAR,SEQ_NO,INVOICE_SEQ,ALLOC_QTY,SALE_PRICE,SALE_PRICE_UNIT,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TAX_AMT,TAX_STRUCT_CD,NET_PAYABLE_AMT,GRT,QUANTITY,CARGO_DT,CARGO_AMOUNT,HRS_BERTHING,TIME_SLOTS_BERTHING,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT
2,HPPL,92,HSA,2020-2021,1,C0005/20-21,null,.047,2,null,null,null,null,2,20848.00,3752.00,null,24600.00,110895,133180,null,null,32,1,33,07/12/2020,null,null
2,HPPL,14,HSA,2020-2021,1,C0003/21-22,null,.047,2,null,null,null,null,2,19653.00,3538.00,null,23191.00,104537,135000,null,null,31,1,111,03/08/2021,null,null
2,HPPL,14,HSA,2020-2021,1,C0004/21-22,null,.047,2,null,null,null,null,2,21448.00,3861.00,null,25309.00,114084,135000,null,null,29,1,111,03/08/2021,null,null
2,HPPL,92,HSA,2020-2021,1,C0003/20-21,null,.047,2,null,null,null,null,2,20848.00,3752.00,null,24600.00,110895,132800,null,null,32,1,33,03/11/2020,null,null
2,HPPL,92,HSA,2020-2021,1,C0004/20-21,null,.047,2,null,null,null,null,2,21940.00,3949.00,null,25889.00,116703,140000,null,null,32,1,33,06/11/2020,null,null
2,HPPL,14,HSA,2021-2022,1,C0005/21-22,null,.047,2,null,null,null,null,2,21498.00,3870.00,null,25368.00,114354,122000,null,null,32,1,111,03/08/2021,null,null
2,HPPL,92,HSA,2021-2022,1,C0007/21-22,null,.047,2,null,null,null,null,2,25697.00,4626.00,null,30323.00,136685,72750,null,null,32,1,111,23/09/2021,null,null
2,HPPL,92,HSA,2021-2022,1,C0011/21-22,null,.047,2,null,null,null,null,2,25697.00,4626.00,null,30323.00,136685,144450,null,null,32,1,33,14/03/2022,null,null
2,HPPL,92,HSA,2021-2022,1,C0012/21-22,null,.047,2,null,null,null,null,2,20848.00,3752.00,null,24600.00,110895,133945,null,null,32,1,33,31/03/2022,null,null
2,HPPL,92,HSA,2021-2022,1,C0008/21-22,null,.047,2,null,null,null,null,2,25634.00,4614.00,null,30248.00,136355,72750,null,null,32,1,111,22/10/2021,null,null
2,HPPL,14,HSA,2021-2022,1,C0009/21-22,null,.047,2,null,null,null,null,2,16436.00,2958.00,null,19394.00,116568,28200,null,null,24,2,111,07/12/2021,null,null
2,HPPL,14,HSA,2021-2022,1,C0006/21-22,null,.047,2,null,null,null,null,2,21338.00,3842.00,null,25180.00,113502,145000,null,null,32,1,111,03/08/2021,null,null
2,HPPL,92,HSA,2021-2022,1,C0010/21-22,null,.047,2,null,null,null,null,2,25634.00,4614.00,null,30248.00,136355,144450,null,null,32,1,33,15/02/2022,null,null
2,HPPL,92,HSA,2021-2022,1,C0001/21-22,null,.047,2,null,null,null,null,2,21940.00,3949.00,null,25889.00,116703,132566,null,null,32,1,111,07/05/2021,null,null
2,HPPL,36,HSA,2024-2025,1,C0012/24-25,null,.047,2,null,null,null,null,2,19534.00,3517.00,null,23051.00,103902,139512,null,null,32,1,131,11/04/2025,null,null
2,HPPL,36,HSA,2024-2025,1,C0013/24-25,null,.047,2,null,null,null,null,2,21594.00,3886.00,null,25480.00,114864,148000,null,null,32,1,131,11/04/2025,null,null
2,HPPL,14,HSA,2024-2025,1,C0001/24-25,null,.047,2,null,null,null,null,2,18936.00,3408.00,null,22344.00,100723,145000,null,null,32,1,131,18/09/2024,null,null
2,HPPL,14,HSA,2024-2025,1,C0002/24-25,null,.047,2,null,null,null,null,2,21918.00,3946.00,null,25864.00,116581,151000,null,null,32,1,131,18/09/2024,null,null
2,HPPL,14,HSA,2024-2025,1,C0003/24-25,null,.047,2,null,null,null,null,2,18936.00,3408.00,null,22344.00,100723,146000,null,null,32,1,131,18/09/2024,null,null
2,HPPL,14,HSA,2024-2025,1,C0004/24-25,null,.047,2,null,null,null,null,2,19653.00,3538.00,null,23191.00,104537,104537,null,null,32,1,131,18/09/2024,null,null
2,HPPL,14,HSA,2024-2025,1,C0005/24-25,null,.047,2,null,null,null,null,2,18936.00,3408.00,null,22344.00,100723,140000,null,null,32,1,131,18/09/2024,null,null
2,HPPL,14,HSA,2024-2025,1,C0006/24-25,null,.047,2,null,null,null,null,2,19653.00,3538.00,null,23191.00,104537,148104,null,null,32,1,131,18/09/2024,null,null
2,HPPL,14,HSA,2024-2025,1,C0007/24-25,null,.047,2,null,null,null,null,2,21619.00,3891.00,null,25510.00,114996,152200,null,null,32,1,131,18/09/2024,null,null
2,HPPL,15,HSA,2024-2025,1,C0009/24-25,null,.047,2,null,null,null,null,2,21469.00,3864.00,null,25333.00,114195,155000,null,null,32,1,131,08/11/2024,null,null
2,HPPL,354,HSA,2024-2025,1,C0008/24-25,null,.047,2,null,null,null,null,2,21558.00,3880.00,null,25438.00,114668,155050,null,null,32,1,131,27/09/2024,null,null
2,HPPL,14,HSA,2024-2025,1,C0004/25-26,null,.047,2,null,null,null,null,2,16008.00,2881.00,null,18889.00,113534,30000,null,null,24,2,131,25/06/2025,null,null
2,HPPL,92,HSA,2024-2025,1,C0010/24-25,null,.047,2,null,null,null,null,2,20906.00,3763.00,null,24669.00,111203,130000,null,null,32,1,131,15/01/2025,null,null
2,HPPL,92,HSA,2024-2025,1,C0011/24-25,null,.047,2,null,null,null,null,2,21940.00,3949.00,null,25889.00,116703,133248,null,null,32,1,201,07/02/2025,null,null
2,HPPL,14,HSA,2023-2024,1,C0003/23-24,null,.047,2,null,null,null,null,2,21619.00,3891.00,null,25510.00,114996,147000,null,null,32,1,131,23/05/2023,null,null
2,HPPL,14,HSA,2023-2024,1,C0010/23-24,null,.047,2,null,null,null,null,2,18936.00,3408.00,null,22344.00,100723,149000,null,null,32,1,131,27/02/2024,null,null
2,HPPL,14,HSA,2023-2024,1,C0011/23-24,null,.047,2,null,null,null,null,2,21678.00,3902.00,null,25580.00,115311,149500,null,null,32,1,131,28/02/2024,null,null
2,HPPL,14,HSA,2023-2024,1,C0004/23-24,null,.047,2,null,null,null,null,2,19534.00,3517.00,null,23051.00,103902,153520,null,null,32,1,131,01/08/2023,null,null
2,HPPL,14,HSA,2023-2024,1,C0005/23-24,null,.047,2,null,null,null,null,2,19532.00,3515.00,null,23047.00,103893,138000,null,null,32,1,131,01/08/2023,null,null
2,HPPL,14,HSA,2023-2024,1,C0006/23-24,null,.047,2,null,null,null,null,2,19534.00,3517.00,null,23051.00,103902,138000,null,null,32,1,131,01/09/2023,null,null
2,HPPL,92,HSA,2023-2024,1,C0007/23-24,null,.047,2,null,null,null,null,2,25752.00,4635.00,null,30387.00,136980,144450,null,null,32,1,131,30/10/2023,null,null
2,HPPL,92,HSA,2023-2024,1,C0002/23-24,null,.047,2,null,null,null,null,2,21940.00,3949.00,null,25889.00,116703,131404,null,null,32,1,131,04/05/2023,null,null
2,HPPL,92,HSA,2023-2024,1,C0008/23-24,null,.047,2,null,null,null,null,2,18015.00,3243.00,null,21258.00,95824,140000,null,null,32,1,131,12/01/2024,null,null
2,HPPL,14,HSA,2023-2024,1,C0009/23-24,null,.047,2,null,null,null,null,2,17077.00,3074.00,null,20151.00,90835,130000,null,null,32,1,131,19/02/2024,null,null
2,HPPL,92,HSA,2022-2023,1,C0006/22-23,null,.047,2,null,null,null,null,2,18632.00,3354.00,null,21986.00,99106,135000,null,null,32,1,131,21/02/2023,null,null
2,HPPL,92,HSA,2022-2023,1,C0007/22-23,null,.047,2,null,null,null,null,2,20848.00,3752.00,null,24600.00,110895,133552,null,null,32,1,131,23/03/2023,null,null
2,HPPL,92,HSA,2022-2023,1,C0008/22-23,null,.047,2,null,null,null,null,2,21940.00,3949.00,null,25889.00,116703,133623,null,null,32,1,131,23/03/2023,null,null
2,HPPL,14,HSA,2022-2023,1,C0001/23-24,null,.047,2,null,null,null,null,2,21387.00,3850.00,null,25237.00,113763,135000,null,null,32,1,131,04/05/2023,null,null
2,HPPL,15,HSA,2025-2026,1,C0008/25-26,null,.047,2,null,null,null,null,2,21469.00,3864.00,null,25333.00,114195,150000,null,null,32,1,131,14/10/2025,null,null
2,HPPL,36,HSA,2025-2026,1,C0009/25-26,null,.047,2,null,null,null,null,2,19584.00,3525.00,null,23109.00,104169,140000,null,null,32,1,131,09/12/2025,null,null
2,HPPL,92,HSA,2022-2023,1,C0003/22-23,null,.047,2,null,null,null,null,2,21940.00,3949.00,null,25889.00,116703,132211,null,null,32,1,131,19/09/2022,null,null
2,HPPL,14,HSA,2022-2023,1,C0001/22-23,null,.047,2,null,null,null,null,2,16436.00,2958.00,null,19394.00,116568,16000,null,null,24,2,131,10/05/2022,null,null
2,HPPL,92,HSA,2022-2023,1,C0002/22-23,null,.047,2,null,null,null,null,2,25857.00,4654.00,null,30511.00,137535,135000,null,null,32,1,131,13/07/2022,null,null
2,HPPL,92,HSA,2025-2026,1,C0001/25-26,null,.047,2,null,null,null,null,2,21940.00,3949.00,null,25889.00,116703,133200,null,null,32,1,131,10/06/2025,null,null
2,HPPL,36,HSA,2025-2026,1,C0002/25-26,null,.047,2,null,null,null,null,2,20073.00,3613.00,null,23686.00,106771,142000,null,null,32,1,131,17/06/2025,null,null
2,HPPL,14,HSA,2025-2026,1,C0003/25-26,null,.047,2,null,null,null,null,2,18936.00,3408.00,null,22344.00,100723,3651330,null,null,32,1,131,18/06/2025,null,null
2,HPPL,36,HSA,2025-2026,1,C0006/25-26,null,.047,2,null,null,null,null,2,22026.00,3965.00,null,25991.00,117162,156500,null,null,32,1,131,11/08/2025,null,null
2,HPPL,92,HSA,2025-2026,1,C0005/25-26,null,.047,2,null,null,null,null,2,20906.00,3763.00,null,24669.00,111203,132500,null,null,32,1,131,08/08/2025,null,null
